C,N,O,H,S,F,Cl,NumAtoms,AtomIsInRing,AtomIsAromatic,NumBonds,BondIsConjugated,BondIsAromatic,NumRotatableBonds,fr_C_O_noCOO,fr_Al_COO,fr_Ar_COO,fr_Al_OH,fr_Ar_OH,fr_NH2,fr_SH,fr_sulfide,fr_alkyl_halide,ExactMolWt,FpDensityMorgan3,MolLogP,MolMR,FractionCSP3,has_CN(C)C,has_CNC,has_C=NC,has_Thiophene,has_Pyrrole,has_Benzimidazole,has_Benzothiophene,has_Naphthalene,has_Biphenyl,has_Triphenylamine,dipole,homo,lumo,gap,energy,a,b,c,PCE,Jsc,Voc,FF,MolFormular,SMILES
53.0,2.0,4.0,44.0,0.0,0.0,0.0,103.0,49.0,48.0,111.0,61.0,48.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772.3301078880008,0.8813559322033898,13.565799999999983,241.12999999999965,0.09433962264150944,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.5379933054,-4.52107,-1.0958,3.42527,-66756.05342808146,0.005266379240684865,0.0005118439834168323,0.0004702319346078876,14.65352,19.9255,0.969192061296921,0.758792247497908,C53H44N2O4,[H]c1c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(-c3c([H])c([H])c4c(c3[H])C([H])([H])c3c([H])c(-c5c([H])c([H])c(N(c6c([H])c([H])c(OC([H])([H])[H])c([H])c6[H])c6c([H])c([H])c(OC([H])([H])[H])c([H])c6[H])c([H])c5[H])c([H])c([H])c3-4)c([H])c2[H])c([H])c([H])c1OC([H])([H])[H]
46.0,3.0,4.0,41.0,0.0,0.0,0.0,94.0,42.0,42.0,100.0,54.0,42.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.309706792001,1.0377358490566038,11.69801999999999,215.41999999999973,0.10869565217391304,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4170976769,-4.50972,-1.0615,3.44822,-60945.71639994958,0.005483563199816142,0.0007649480603230428,0.0007097961559737659,13.6253333333333,19.3848333333333,0.936152371998422,0.750824650021253,C46H41N3O4,[H]c1c(-c2c([H])c([H])c(N(c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c([H])c2[H])nc(C([H])([H])[H])c(-c2c([H])c([H])c(N(c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c([H])c2[H])c1[H]
53.0,2.0,5.0,42.0,0.0,0.0,0.0,102.0,49.0,48.0,110.0,64.0,48.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.3093724440008,0.85,13.205999999999984,241.75649999999968,0.07547169811320754,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1374228183,-4.61707,-2.19951,2.41756,-68767.9583284884,0.005044535489226615,0.0005218568895140785,0.0004772164577937184,15.3908,21.2718333333333,0.969526821720342,0.746270792949397,C53H42N2O5,[H]c1c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(-c3c([H])c([H])c4c(c3[H])C(=O)c3c([H])c(-c5c([H])c([H])c(N(c6c([H])c([H])c(OC([H])([H])[H])c([H])c6[H])c6c([H])c([H])c(OC([H])([H])[H])c([H])c6[H])c([H])c5[H])c([H])c([H])c3-4)c([H])c2[H])c([H])c([H])c1OC([H])([H])[H]
45.0,3.0,4.0,39.0,0.0,0.0,0.0,91.0,42.0,42.0,97.0,54.0,42.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685.2940567280009,0.9807692307692307,11.38959999999999,210.6829999999997,0.08888888888888889,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3917446925,-4.49454,-1.20065,3.29389,-59877.46786127916,0.005562521926940445,0.0007848126173516924,0.0006985669264552955,12.89492,19.1323333333333,0.907475988213601,0.742703671653976,C45H39N3O4,[H]c1nc(-c2c([H])c([H])c(N(c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c([H])c2[H])c([H])c([H])c1-c1c([H])c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c([H])c1[H]
47.0,2.0,4.0,42.0,0.0,0.0,0.0,95.0,42.0,42.0,101.0,54.0,42.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.3144578240009,0.9811320754716981,12.303019999999988,217.62499999999972,0.10638297872340426,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3116693296,-4.52402,-0.74921,3.77481,-60509.5196835632,0.005454101562098626,0.0007746835572523263,0.0006909752751632328,15.3956,21.0443333333333,0.953545517386469,0.767220180746633,C47H42N2O4,[H]c1c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(-c3c([H])c([H])c(-c4c([H])c([H])c(N(c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c([H])c4[H])c(C([H])([H])[H])c3[H])c([H])c2[H])c([H])c([H])c1OC([H])([H])[H]
46.0,3.0,6.0,38.0,0.0,1.0,0.0,94.0,42.0,42.0,100.0,57.0,42.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747.2744641560007,1.0535714285714286,12.04189999999999,219.50039999999973,0.08695652173913043,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.6632532527,-4.66289,-2.06132,2.60157,-67696.80940298576,0.004814793602532403,0.0008023185350421129,0.0006969203151108197,15.64794,20.7918333333333,0.970325460042217,0.77561635841695,C46H38FN3O6,[H]c1c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(-c3c([H])c([N+](=O)[O-])c(-c4c([H])c([H])c(N(c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c([H])c4[H])c([H])c3F)c([H])c2[H])c([H])c([H])c1OC([H])([H])[H]
50.0,2.0,4.0,42.0,0.0,0.0,0.0,98.0,46.0,46.0,105.0,59.0,47.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.3144578240009,0.8214285714285714,13.147799999999982,230.39399999999966,0.08,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.4321201203,-4.5376,-1.08163,3.45597,-63616.33214367876,0.005041032698023211,0.0007751335988652989,0.0006845088303060188,15.7872,21.6118333333333,0.954858225853392,0.765023202966358,C50H42N2O4,[H]c1c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(-c3c([H])c([H])c(-c4c([H])c([H])c(N(c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c([H])c4[H])c4c([H])c([H])c([H])c([H])c34)c([H])c2[H])c([H])c([H])c1OC([H])([H])[H]
43.0,3.0,4.0,37.0,1.0,0.0,0.0,88.0,41.0,41.0,94.0,53.0,41.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691.2504776640008,1.0392156862745099,11.45109999999999,208.55999999999972,0.09302325581395349,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6234971329,-4.44453,-1.44365,3.00088,-68604.28689081498,0.005272704311531022,0.000860710843277529,0.0007513166435091196,12.6698333333333,19.712,0.892852531803385,0.719880611676578,C43H37N3O4S,[H]c1nc(-c2c([H])c([H])c(N(c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c([H])c2[H])sc1-c1c([H])c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c([H])c1[H]
47.0,2.0,5.0,42.0,0.0,0.0,0.0,96.0,42.0,42.0,102.0,55.0,42.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.3093724440009,0.9629629629629629,12.00319999999999,219.4399999999997,0.10638297872340426,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0246555431,-4.43817,-0.83024,3.607930000000001,-62553.65757196079,0.00515229203756674,0.0007867366655078547,0.0006912989489401584,14.9758,19.8938333333333,1.00117905488731,0.751899508434698,C47H42N2O5,[H]c1c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(-c3c([H])c([H])c(-c4c([H])c([H])c(N(c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c([H])c4[H])c(OC([H])([H])[H])c3[H])c([H])c2[H])c([H])c([H])c1OC([H])([H])[H]
46.0,2.0,4.0,40.0,0.0,0.0,0.0,92.0,42.0,42.0,98.0,54.0,42.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684.2988077600008,0.6538461538461539,11.99459999999999,212.8879999999997,0.08695652173913043,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0265187498,-4.50561,-0.87434,3.63127,-59441.35759941185,0.005590591271901178,0.0007769806597505723,0.0006897413722923391,12.9106266666667,18.8638333333333,0.908114354031057,0.753662370325359,C46H40N2O4,[H]c1c([H])c(N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c2c([H])c([H])c(-c3c([H])c([H])c(-c4c([H])c([H])c(N(c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c([H])c4[H])c([H])c3[H])c([H])c2[H])c([H])c([H])c1OC([H])([H])[H]
